"To be, to Bernadette.   		4 letters",ETRE.    	The French for 'to be' is 'être'.
"Ed of ""Up"".   		5 letters","ASNER.    	Ed Asner is most famous for playing the irascible but lovable Lou Grant on ""The Mary Tyler Moore Show"" and on the spin-off drama ""Lou Grant"". Off-screen, Asner is noted for his political activism. He served two terms as president of the Screen Actors Guild (SAG) and was very involved in the 1980 SAG strike. When ""Lou Grant"" was cancelled in 1982, despite decent ratings, there was a lot of talk that the cancellation was a move by the network against Asner personally. In fact one of Asner's activist colleagues, Howard Hesseman (who played Johnny Fever), found that his show ""WKRP in Cincinnati"" was also cancelled ... on the very same day ..."
Concerning.   		5 letters,"IN RE.    	The term ""in re"" is Latin, derived from ""in"" (in) and ""res"" (thing, matter). ""In re"" literally means ""in the matter"", and is used to mean ""in regard to"", or ""in the matter of""."
Hamm of soccer.   		3 letters,"MIA.    	Mia Hamm is a retired American soccer player, a forward who played on the US national team that won the FIFA women's World Cup in 1991. Hamm has scored 158 international goals, more than other player in the world, male or female. Amazingly, Hamm was born with a clubfoot, and so had to wear corrective shoes when she was growing up."
Letter between sigma and upsilon.   		3 letters,"TAU.    	Tau is the 19th letter of the Greek alphabet, the letter which gave rise to our Roman ""T"". Both the letters tau (T) and chi (X) have long been symbolically associated with the cross."
R.   		3 letters,CSA.    	The Confederate States of America (CSA) set up government in 1861 just before Abraham Lincoln took office. Jefferson Davis was selected as President of the CSA at its formation and retained the post for the life of the government.
"Gridiron successes, for short.   		3 letters",TDS.    	Touchdowns (TDs)
"Brontë's ""Jane ___"".   		4 letters","EYRE.    	""Jane Eyre"" is of course the novel written by Charlotte Bronte, and published as ""Jane Eyre. An Autobiography"" under the pen name Currer Bell. The storyline is a little too dark and Gothic for my taste ..."
QB feats.   		3 letters,TDS.    	Quarterbacks (QBs) make touchdowns (TDs).
Brand in Road Runner cartoons.   		4 letters,"ACME.    	The Acme Corporation is a fictional company used mainly by Looney Tunes, and within the Looney Tunes empire it was used mostly in the ""Road Runner"" cartoons. Wile E. Coyote was always receiving a new piece of gear from Acme designed to finally capture the Road Runner, but the equipment just led to his downfall instead."
Fairness-in-hiring letters.   		3 letters,"EEO.    	Equal Employment Opportunity (EEO) is a term that has been around since 1964 when the Equal Employment Opportunity Commission (EEOC) was set up by the Civil Rights Act. Title VII of the Act prohibits employers from discriminating against employees on the basis of sex, race, color, national origin or religion."
1948 Literature Nobelist.   		5 letters,"ELIOT.    	T. S. Eliot was born in New England but grew up in St. Louis, Missouri. Much of his college education was at Oxford. Clearly he became comfortable with life in England as in 1927 he became a British citizen, and lived the rest of his life in the UK."
North Sea feeder.   		4 letters,"YSER.    	The Yser originates in northern France and flows though Belgium into the North Sea. The Yser name is oft associated with WWI as it figured in a major battle early in the conflict. In the first three months of the war the German Army pushed almost completely through Belgium, inflicting heavy losses on the Belgian Army as the defenders were forced to fight a fast-moving rearguard action. The Germans were intent on pushing right through Belgium, across France in a ""race to the sea"". But the Belgians, with the help of its Allies, decided to make a final stand at the Yser Canal in an effort to prevent the Germans reaching the French ports of Calais and Dunkirk. The 22-mile long defensive line was chosen at the Yser because the river and canal system could be flooded to create a barrier that might be defended. The plan was successful, and the front was ""stabilized"". As we now know, millions of lives were lost over the coming years with very little movement of that battle line."
Samuel Beckett's homeland.   		4 letters,"EIRE.    	An Irishman I may be, but I have sat through so many Samuel Beckett plays (the Irish dramatist) and I have yet to come away feeling satisfied that I spent my time well. Of course I am in the minority, as Beckett's play ""Waiting for Godot"" was once voted the most significant English language play of the 20th century. Maybe I will give 'Waiting for Godot' another chance one day, but I doubt it ..."
"___ Spencer, co-anchor of ABC's ""Good Morning America"".   		4 letters","LARA.    	Lara Spencer has been co-anchor of 'Good Morning America' since 2011, working alongside Robin Roberts and George Stephanopoulos. Back in 2004/2005, PBS viewers will have seen Spencer hosting the hit show 'Antiques Roadshow'."
Fair-hiring inits.   		3 letters,EEO.    	Equal Employment Opportunity (EEO) is a term that has been around since 1964 when the Equal Employment Commission was set up by the Civil Rights Act.
