P.T.A. interest: Abbr..   		4 letters,EDUC.    	Parent-Teacher Association (PTA)
Three-line verse.   		5 letters,"HAIKU.    	A haiku is a very elegant form of Japanese verse. When writing a haiku in English we tend to impose the rule that the verse must contain 17 syllables. This restriction comes from the rule in Japanese that the verse must contain 17 sound units called ""moras"", but moras and syllables aren't the same thing. What the difference is though, is not so clear to me. Here's an example of a Haiku:"
Barcelona's Joan ___ Foundation.   		4 letters,MIRO.    	The Fundació Joan Miró (Joan Miró Foundation) is a museum of modern art in Barcelona featuring the works of Joan Miró.
Rebels' school.   		8 letters,"OLE MISS.    	Ole Miss is the nickname for the University of Mississippi. The name ""Ole Miss"" dates back to 1897, the first year a student yearbook was published. The graduating class held a competition to name the yearbook and ""Ole Miss"" emerged as the winner. The name stuck to the yearbook, and also as a nickname for the school itself. The University of Mississippi sports teams have been known as the Rebels since 1936. Prior to 1936, they were known as the Mississippi Flood."
Big name in PCs.   		4 letters,"DELL.    	Dell, the computer manufacturer, is named after the company's founder Michael Dell. Michael Dell started his company in his dorm room at college, shipping personal computers that were customized to the specific needs of his customers. He dropped out of school in order to focus on his growing business, a decision that I doubt he regrets. Michael Dell is now one of the richest people in the world."
First word in a fairy tale.   		4 letters,ONCE.    	Once upon a time ...
Roman Stoic philosopher.   		6 letters,"SENECA.    	Seneca the Younger was a playwright as well as a tutor and advisor to the Emperor Nero of Ancient Rome. Although maybe innocent, Seneca was forced to commit suicide by Nero as it was alleged that Seneca participated in a plot to kill the emperor. To kill himself, Seneca cut into a number of veins in order to bleed to death."
César subject.   		4 letters,"CINE.    	The César Award is the national film award of France. The first César was awarded in 1975, named after the French sculptor César Baldaccini. The awards themselves are reproductions of an actual Baldaccini sculpture."
"Alex's mom on ""Family Ties"".   		5 letters","ELYSE.    	""Family Ties"" was one of the first TV shows that I enjoyed when I arrived in the US back in 1983. I found the situation very appealing, with two ex-hippie parents facing off against an ultra-conservative son. The main characters in the show were Michael J. Fox as Alex, Meredith Baxter-Birney as Alex's mom, Elyse, and Michael Gross as Alex's Dad, Steven. But some future stars had recurring roles as well, including Courteney Cox as one of Alex's girlfriends and Tom Hanks as Elyse's young brother."
"He wrote ""One Step Forward, Two Steps Back"".   		5 letters","LENIN.    	'One Step Forward, Two Steps Back - The Crisis in Our Party' is a book first published in 1904 that was written by Vladimir Lenin. It examines the circumstances leading up to the political split in the Russian Social Democratic Labour Party, which brought the Bolsheviks (translating as 'the majority') to prominence."
Sauce thickener.   		4 letters,"ROUX.    	A roux is a mixture of wheat flour and clarified butter (or other fat) cooked together until it can be used as a thickening agent. Roux is an essential ingredient in French cooking, although ""healthier"" versions of roux are being used more and more these days."
Blade brand.   		6 letters,"X-ACTO.    	The X-Acto knife was invented in the thirties by a Polish immigrant, although his intention was to come up with a scalpel for surgeons. The knife couldn't cut it (pun intended!) as a scalpel though, because it was difficult to clean. The inventor's brother-in law suggested it be used as a craft knife, and it is still around today."
Parthian predecessor.   		4 letters,"MEDE.    	The Medes were an ancient people that lived in what is now northwestern Iran. The Medes held sway in the region only for about 60 years, until Cyrus the Great came along and defeated Astyages, the king of Media (not to be confused with Howard Stern, the self-proclaimed ""king of all media""!)."
Fleur-de-___.   		3 letters,"LYS.    	""Lys"" (also 'lis') is the French word for ""lily"", as in ""fleur-de-lys"", the heraldic symbol often associated with the French monarchy."
