One of eight baby teeth.   		5 letters,MOLAR.    	Molars are grinding teeth. The term 'molar' comes from the Latin 'mola' meaning 'millstone'.
"Schubert's ""The ___ King"".   		3 letters","ERL.    	Der Erlkönig' ('The Erl King') is a poem by the German writer Johann Wolfgang von Goethe. The poem tells of the death of child attacked by the Erl King, a supernatural being. The Austrian composer Franz Schubert made a musical adaptation of Goethe's poem, using the same title."
Fund for a third party.   		6 letters,"ESCROW.    	One type of escrow account is held by a trusted third party for two parties who have some contractual arrangement, an arrangement that is often in dispute. The third party only releases the funds when both parties have fulfilled their contractual obligations."
Morse bit.   		3 letters,"DIT.    	Dahs and dits are the sound equivalents of dashes and dots of Morse Code. Samuel Morse didn't invent Morse code, but it took his name because it was invented for use on the electric telegraph invented by him."
"With 18-Down, structure that gets less stable with time.   		5 letters",JENGA.    	(18D. See 8-Down : TOWER)
"""Let's ___!"" (words after saying grace).   		3 letters",EAT.    	A 'grace' is a short prayer recited before or after a meal.
Siren.   		4 letters,VAMP.    	A vamp (short for vampire) is a seductive woman.
Footnote abbr..   		6 letters,"ET SEQ.    	The Latin phrase 'et sequens' or 'et sequentia' is used in English to mean 'and following', and is abbreviated to 'et seq'. "
Bistro.   		4 letters,"CAFE.    	""Bistro"" was originally a Parisian slang term for a ""little wine shop or restaurant""."
Yiddish laments.   		3 letters,"OYS.    	'Oy vey' is a Yiddish expression of dismay that literally translates as 'oh, pain'. The more usual translation is 'woe is me'."
Creature that moves by jet propulsion.   		8 letters,"NAUTILUS.    	The marine creature called a nautilus is referred to as a ""living fossil"", as it looks just like the spiral-shelled creatures that are commonly found in fossils. The spiral shape is a great example of the Fibonacci series defining a natural phenomenon, as the spiral is a Fibonacci spiral, described by the famous series of numbers. The nautilus moves using jet propulsion, by ingesting water at one end and then squirting it out at the other."
Love from the Beach Boys?.   		4 letters,"MIKE.    	When the Beach Boys formed in 1961, they were very much a family concern. Brian, Dennis and Carl Wilson were three brothers, Mike Love was their cousin, and the fifth member of the band was family friend Al Jardine. Back then, the manager of the group was Murry Wilson, the father of the three Wilson brothers."
Gambling mecca.   		6 letters,"MONACO.    	The Principality of Monaco is on the Mediterranean coast, and is otherwise surrounded by France, even though it is just under 10 miles from the Italian border. Monaco is the world's most densely populated country, and the world's second smallest country (the smallest being Vatican City). The principality has been very prosperous since the late 1800s, with the economy given a tremendous boost with the opening of several gambling casinos."
